% Source Destination PIR POR T_on T_off T_period
54 9 1.0 1.0 433914 433916 1000000000
45 4 1.0 1.0 433933 433935 1000000000
2 15 1.0 1.0 433944 433946 1000000000
3 11 1.0 1.0 433953 433955 1000000000
9 23 1.0 1.0 433954 433956 1000000000
16 34 1.0 1.0 433955 433957 1000000000
15 2 1.0 1.0 433968 433970 1000000000
11 3 1.0 1.0 433977 433979 1000000000
23 9 1.0 1.0 433978 433980 1000000000
34 61 1.0 1.0 433979 433981 1000000000
61 61 1.0 1.0 433979 433981 1000000000
61 61 1.0 1.0 433979 433981 1000000000
34 58 1.0 1.0 433982 433984 1000000000
34 63 1.0 1.0 433982 433984 1000000000
34 54 1.0 1.0 433982 433984 1000000000
34 62 1.0 1.0 433982 433984 1000000000
34 53 1.0 1.0 433982 433984 1000000000
34 52 1.0 1.0 433982 433984 1000000000
34 51 1.0 1.0 433982 433984 1000000000
34 50 1.0 1.0 433982 433984 1000000000
34 49 1.0 1.0 433982 433984 1000000000
34 48 1.0 1.0 433982 433984 1000000000
34 0 1.0 1.0 433982 433984 1000000000
34 7 1.0 1.0 433982 433984 1000000000
34 10 1.0 1.0 433982 433984 1000000000
34 11 1.0 1.0 433982 433984 1000000000
34 12 1.0 1.0 433982 433984 1000000000
34 13 1.0 1.0 433982 433984 1000000000
34 14 1.0 1.0 433982 433984 1000000000
34 15 1.0 1.0 433982 433984 1000000000
34 16 1.0 1.0 433982 433984 1000000000
34 17 1.0 1.0 433982 433984 1000000000
34 18 1.0 1.0 433982 433984 1000000000
34 19 1.0 1.0 433982 433984 1000000000
34 20 1.0 1.0 433982 433984 1000000000
34 21 1.0 1.0 433982 433984 1000000000
34 22 1.0 1.0 433982 433984 1000000000
34 23 1.0 1.0 433982 433984 1000000000
34 1 1.0 1.0 433982 433984 1000000000
34 5 1.0 1.0 433982 433984 1000000000
34 47 1.0 1.0 433982 433984 1000000000
34 46 1.0 1.0 433982 433984 1000000000
34 43 1.0 1.0 433982 433984 1000000000
34 40 1.0 1.0 433982 433984 1000000000
34 42 1.0 1.0 433982 433984 1000000000
34 39 1.0 1.0 433982 433984 1000000000
34 25 1.0 1.0 433982 433984 1000000000
34 26 1.0 1.0 433982 433984 1000000000
34 27 1.0 1.0 433982 433984 1000000000
34 28 1.0 1.0 433982 433984 1000000000
34 29 1.0 1.0 433982 433984 1000000000
34 30 1.0 1.0 433982 433984 1000000000
34 31 1.0 1.0 433982 433984 1000000000
34 32 1.0 1.0 433982 433984 1000000000
34 33 1.0 1.0 433982 433984 1000000000
34 34 1.0 1.0 433982 433984 1000000000
34 35 1.0 1.0 433982 433984 1000000000
34 36 1.0 1.0 433982 433984 1000000000
34 37 1.0 1.0 433982 433984 1000000000
34 38 1.0 1.0 433982 433984 1000000000
34 41 1.0 1.0 433982 433984 1000000000
34 45 1.0 1.0 433982 433984 1000000000
34 55 1.0 1.0 433982 433984 1000000000
34 8 1.0 1.0 433982 433984 1000000000
34 57 1.0 1.0 433982 433984 1000000000
2 15 1.0 1.0 433984 433986 1000000000
9 28 1.0 1.0 433988 433990 1000000000
4 29 1.0 1.0 434006 434008 1000000000
15 61 1.0 1.0 434008 434010 1000000000
57 34 1.0 1.0 434010 434012 1000000000
34 38 1.0 1.0 434010 434012 1000000000
34 39 1.0 1.0 434010 434012 1000000000
34 37 1.0 1.0 434010 434012 1000000000
34 35 1.0 1.0 434010 434012 1000000000
34 32 1.0 1.0 434010 434012 1000000000
34 33 1.0 1.0 434010 434012 1000000000
34 30 1.0 1.0 434010 434012 1000000000
34 31 1.0 1.0 434010 434012 1000000000
34 14 1.0 1.0 434010 434012 1000000000
34 15 1.0 1.0 434010 434012 1000000000
34 16 1.0 1.0 434010 434012 1000000000
34 17 1.0 1.0 434010 434012 1000000000
34 10 1.0 1.0 434010 434012 1000000000
34 11 1.0 1.0 434010 434012 1000000000
34 12 1.0 1.0 434010 434012 1000000000
34 13 1.0 1.0 434010 434012 1000000000
34 18 1.0 1.0 434010 434012 1000000000
34 19 1.0 1.0 434010 434012 1000000000
34 0 1.0 1.0 434010 434012 1000000000
34 1 1.0 1.0 434010 434012 1000000000
34 5 1.0 1.0 434010 434012 1000000000
34 7 1.0 1.0 434010 434012 1000000000
34 8 1.0 1.0 434010 434012 1000000000
34 20 1.0 1.0 434010 434012 1000000000
34 21 1.0 1.0 434010 434012 1000000000
34 22 1.0 1.0 434010 434012 1000000000
34 23 1.0 1.0 434010 434012 1000000000
34 25 1.0 1.0 434010 434012 1000000000
34 26 1.0 1.0 434010 434012 1000000000
34 27 1.0 1.0 434010 434012 1000000000
34 28 1.0 1.0 434010 434012 1000000000
34 29 1.0 1.0 434010 434012 1000000000
34 34 1.0 1.0 434010 434012 1000000000
34 36 1.0 1.0 434010 434012 1000000000
34 40 1.0 1.0 434010 434012 1000000000
34 41 1.0 1.0 434010 434012 1000000000
34 42 1.0 1.0 434010 434012 1000000000
34 43 1.0 1.0 434010 434012 1000000000
34 45 1.0 1.0 434010 434012 1000000000
34 46 1.0 1.0 434010 434012 1000000000
34 47 1.0 1.0 434010 434012 1000000000
34 48 1.0 1.0 434010 434012 1000000000
34 49 1.0 1.0 434010 434012 1000000000
34 50 1.0 1.0 434010 434012 1000000000
34 51 1.0 1.0 434010 434012 1000000000
34 52 1.0 1.0 434010 434012 1000000000
34 53 1.0 1.0 434010 434012 1000000000
34 54 1.0 1.0 434010 434012 1000000000
34 55 1.0 1.0 434010 434012 1000000000
34 58 1.0 1.0 434010 434012 1000000000
34 61 1.0 1.0 434010 434012 1000000000
34 62 1.0 1.0 434010 434012 1000000000
34 63 1.0 1.0 434010 434012 1000000000
34 16 1.0 1.0 434010 434012 1000000000
8 34 1.0 1.0 434010 434012 1000000000
55 34 1.0 1.0 434010 434012 1000000000
45 34 1.0 1.0 434010 434012 1000000000
41 34 1.0 1.0 434010 434012 1000000000
38 34 1.0 1.0 434010 434012 1000000000
37 34 1.0 1.0 434010 434012 1000000000
36 34 1.0 1.0 434010 434012 1000000000
35 34 1.0 1.0 434010 434012 1000000000
34 34 1.0 1.0 434010 434012 1000000000
33 34 1.0 1.0 434010 434012 1000000000
32 34 1.0 1.0 434010 434012 1000000000
31 34 1.0 1.0 434010 434012 1000000000
30 34 1.0 1.0 434010 434012 1000000000
29 34 1.0 1.0 434010 434012 1000000000
28 34 1.0 1.0 434010 434012 1000000000
27 34 1.0 1.0 434010 434012 1000000000
26 34 1.0 1.0 434010 434012 1000000000
25 34 1.0 1.0 434010 434012 1000000000
39 34 1.0 1.0 434010 434012 1000000000
42 34 1.0 1.0 434010 434012 1000000000
40 34 1.0 1.0 434010 434012 1000000000
43 34 1.0 1.0 434010 434012 1000000000
46 34 1.0 1.0 434010 434012 1000000000
47 34 1.0 1.0 434010 434012 1000000000
5 34 1.0 1.0 434010 434012 1000000000
1 34 1.0 1.0 434010 434012 1000000000
23 34 1.0 1.0 434010 434012 1000000000
22 34 1.0 1.0 434010 434012 1000000000
21 34 1.0 1.0 434010 434012 1000000000
20 34 1.0 1.0 434010 434012 1000000000
19 34 1.0 1.0 434010 434012 1000000000
18 34 1.0 1.0 434010 434012 1000000000
17 34 1.0 1.0 434010 434012 1000000000
16 34 1.0 1.0 434010 434012 1000000000
15 34 1.0 1.0 434010 434012 1000000000
14 34 1.0 1.0 434010 434012 1000000000
13 34 1.0 1.0 434010 434012 1000000000
12 34 1.0 1.0 434010 434012 1000000000
11 34 1.0 1.0 434010 434012 1000000000
10 34 1.0 1.0 434010 434012 1000000000
7 34 1.0 1.0 434010 434012 1000000000
0 34 1.0 1.0 434010 434012 1000000000
